Company Name,Annual Revenue (US$ m)
GlobeStar Therapeutics Corp,0.0001
23andMe Holding Co.,
5:01 Acquisition Corp,
89bio Inc,
9 Meters Biopharma Inc,
ABG Acquisition Corp. I,
Acer Therapeutics Inc,
Achieve Life Sciences Inc,
Achillion Pharmaceuticals Inc,
Actinium Pharmaceuticals Inc,
Acurx Pharmaceuticals Inc,
Adagio Therapeutics Inc,
Adhera Therapeutics Inc,
Adial Pharmaceuticals Inc,
ADiTx Therapeutics Inc,
Advanced Proteome Therapeutics Corp,
Adverum Biotechnologies Inc,
Aeglea BioTherapeutics Inc,
Aerovate Therapeutics Inc,
AIkido Pharma Inc,
Aileron Therapeutics Inc,
Aion Therapeutic Inc,
Akari Therapeutics Plc,
Akero Therapeutics Inc,
Akouos Inc,
Aldeyra Therapeutics Inc,
Algernon Pharmaceuticals Inc,
Aligos Therapeutics Inc,
Allakos Inc,
Allena Pharmaceuticals Inc,
Allogene Therapeutics Inc,
AlloVir Inc,
Alpha Healthcare Acquisition Corp,
Alzheimer's Drug Discovery Foundation,
Amarantus Bioscience Holdings Inc,
Ampio Pharmaceuticals Inc,
Amplitude Healthcare Acquisition Corp,
Anavex Life Sciences Corp,
Anebulo Pharmaceuticals Inc,
AngioGenex Inc,
Anixa Biosciences Inc,
Annexon Inc,
Annovis Bio Inc,
Anthera Pharmaceuticals Inc,
Appili Therapeutics Inc,
Applied Molecular Transport Inc,
Applied Therapeutics Inc,
Applied Visual Sciences Inc,
Aprea Therapeutics Inc,
Aptose Biosciences Inc,
ARCA biopharma Inc,
Arcutis Biotherapeutics Inc,
ARYA Sciences Acquisition Corp IV,
Atara Biotherapeutics Inc,
AtheroNova Inc,
Athira Pharma Inc,
Athlon Acquisition Corp,
Atossa Therapeutics Inc,
Atreca Inc,
Avenue Therapeutics Inc,
AVROBIO Inc,
Axcella Health Inc,
Axim Biotechnologies Inc,
Axsome Therapeutics Inc,
AzurRx BioPharma Inc,
BCLS Acquisition Corp,
Bellerophon Therapeutics Inc,
Better Life Pharmaceuticals Inc,
Big Cypress Acquisition Corp,
Bio-Matrix Scientific Group Inc,
Bio-Path Holdings Inc,
"BioCube, Inc.",
Biohemp International Inc,
BioMark Diagnostics Inc,
Biomea Fusion Inc,
Biostage Inc,
BioVaxys Technology Corp,
BioVie Inc,
BioXcel Therapeutics Inc,
Bioxytran Inc,
Black Diamond Therapeutics Inc,
Blue Water Acquisition Corp,
Bone Biologics Corp,
Boston Therapeutics Inc,
BrainStorm Cell Therapeutics Inc,
BriaCell Therapeutics Corp,
Bright Minds Biosciences Inc,
Brookline Capital Acquisition Corp,
Burzynski Research Institute Inc,
CA Healthcare Acquisition Corp,
Cabaletta Bio Inc,
Caladrius Biosciences Inc,
Calithera Biosciences Inc,
Cantech Holding Inc,
Capital Group Holdings Inc,
Capstar Special Purpose Acquisition Corp,
Capstone Therapeutics Corp,
CardioGenics Holdings Inc,
Cardiol Therapeutics Inc,
CAS Medical Systems Inc,
Cassava Sciences Inc,
Catabasis Pharmaceuticals Inc,
Celcuity Inc,
Cell Source Inc,
Cellectar Biosciences Inc,
Celularity Inc,
Century Therapeutics Inc,
Cerebain Biotech Corp,
Cerevel Therapeutics Holdings Inc,
Chardan Healthcare Acquisition 2 Corp,
Checkmate Pharmaceuticals Inc,
CHP Merger Corp,
Citius Pharmaceuticals Inc,
CM Life Sciences II Inc,
CNS Pharmaceuticals Inc,
CohBar Inc,
Compass Therapeutics Inc,
Compute Health Acquisition Corp,
Constellation Pharmaceuticals Inc,
ContraFect Corp,
Core One Labs Inc,
Cortexyme Inc,
Corvus Pharmaceuticals Inc,
Cotinga Pharmaceuticals Inc,
CTI BioPharma Corp,
Cullinan Oncology Inc,
Cyclacel Pharmaceuticals Inc,
CymaBay Therapeutics Inc,
Cyteir Therapeutics Inc,
Cytodyn Inc,
CytRx Corp,
Dare Bioscience Inc,
Day One Biopharmaceuticals Inc,
Decibel Therapeutics Inc,
Defence Therapeutics Inc,
Denarius Silver Corp,
DFP Healthcare Acquisitions Corp,
DiaMedica Therapeutics Inc,
Diffusion Pharmaceuticals Inc,
Digital Transformation Opportunities Corp,
Dyne Therapeutics Inc,
EastGate Biotech Corp,
Echo Therapeutics Inc,
Edge Therapeutics Inc (Inactive),
Edgewise Therapeutics Inc,
Edoc Acquisition Corp,
Eiger BioPharmaceuticals Inc,
Eledon Pharmaceuticals Inc,
Elicio Therapeutics Inc,
Eliem Therapeutics Inc,
Eloxx Pharmaceuticals Inc,
Enochian Biosciences Inc,
Entasis Therapeutics Holdings Inc,
Sinopharm Group Co Ltd,66146.0864
Mitsubishi Chemical Holdings Corp,30727.0851
Takeda Pharmaceutical Co Ltd,30163.7408
Shanghai Pharmaceuticals Holding Co Ltd,27812.5181
China Resources Pharmaceutical Group Ltd,25841.6956
LG Chem Ltd,25513.1447
Alfresa Holdings Corp,24554.7002
Queensland Health,21737.519
Sumitomo Chemical Co Ltd,21572.1911
Fujifilm Holdings Corp,20681.1954
CJ CheilJedang Corp,20567.0375
Suzuken Co Ltd,20074.6686
Asahi Kasei Corp,19865.5758
Japan Tobacco Inc,19738.3297
Toray Industries Inc,17767.2803
Central Queensland Hospital and Health Service,14960.9958
Otsuka Holdings Co Ltd,13420.9749
Astellas Pharma Inc,11786.321
Mitsui Chemicals Inc,11429.7397
Toho Holdings Co Ltd,11416.053
Meiji Holdings Co Ltd,11241.4647
CSL Ltd,10310
Ajinomoto Co Inc,10106.6075
Japanese Red Cross Society,10095.1224
Meiji Co Ltd,9429.5301
Daiichi Sankyo Co Ltd,9079.0463
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,8938.0882
Shiseido Co Ltd,8686.3852
Sinopharm Accord Pharmaceutical Co Ltd,8644.7233
Ramsay Health Care Ltd,8563.7044
Teijin Ltd,7890.4986
Nagase & Co Ltd,7831.3372
Hanwha Solutions Corp,7799.8934
Chugai Pharmaceutical Co Ltd,7422.9614
JCOM Co Ltd,7411.2053
Health Promotion Board,7394.8008
Nitto Denko Corp,7181.2506
Nisshin Seifun Group Inc,6409.4171
EBOS Group Ltd,6333.9491
Nippon Suisan Kaisha Ltd,6192.4292
Eisai Co Ltd,6092.9245
Sonic Healthcare Ltd,6025.2757
Hubei Biocause Pharmaceutical Co Ltd,5964.486
Showa Denko Materials Co Ltd,5956.0641
China National Medicines Corporation Ltd,5851.8874
Megmilk Snow Brand Co Ltd,5802.8149
Shenzhen Neptunus Bioengineering Co Ltd,5800.2776
Ube Industries Ltd,5790.5808
Terumo Corp,5790.1374
Nanjing Pharmaceutical Co Ltd,5770.5488
China Meheco Co Ltd,5697.273
Mitsubishi Gas Chemical Co Inc,5619.1807
Inabata & Co Ltd,5448.1201
Kaneka Corp,5446.6392
Huadong Medicine Co Ltd,4881.532
Sumitomo Dainippon Pharma Co Ltd,4866.7784
Nissin Foods Holdings Co Ltd,4773.9143
Yunnan Baiyao Group Co Ltd,4745.2597
Berli Jucker Public Co Ltd,4632.7549
Sun Pharmaceutical Industries Ltd,4533.3184
Shanghai Fosun Pharmaceutical (Group) Co Ltd,4392.2525
Nipro Corp,4297.1143
ITO EN Ltd,4209.5984
Zhejiang Huatong Pharmaceutical Co Ltd,4166.2081
Kikkoman Corp,4144.7964
Jiangsu Hengrui Medicine Co Ltd,4019.4488
Shandong Realcan Pharmaceutical Co Ltd,3942.5347
Amorepacific Corp,3759.7057
Shimadzu Corp,3711.726
CP Pharmaceutical Group,3663.2412
Bright Dairy & Food Co Ltd,3655.4131
Yakult Honsha Co Ltd,3638.2176
Zhejiang International Group Co Ltd,3624.325
CSPC Pharmaceutical Group Ltd,3614.7598
Mitsubishi Tanabe Pharma Corp,3563.6418
Cocokara Fine Inc,3456.4887
Sino Biopharmaceutical Ltd,3427.0842
Cachet Pharmaceutical Co Ltd,3370.4056
Aurobindo Pharma Ltd,3352.7605
Lion Corp,3351.8999
IHH Healthcare Berhad,3191.8764
Toyobo Co Ltd,3182.6221
Shenzhen Mindray Bio-Medical Electronics Co Ltd,3047.18
Kyowa Kirin Co Ltd,3002.893
Humanwell Healthcare Group Co Ltd,2951.9744
Ono Pharmaceutical Co Ltd,2917.358
Far East Smart Energy Co Ltd,2870.1161
Tokuyama Corp,2852.4899
Jilin Yatai Group Co Ltd,2825.7551
Ain Holdings Inc,2804.3635
Shionogi & Co Ltd,2803.1573
Australian Pharmaceutical Industries Ltd,2798.4211
Nichii Gakkan Co Ltd,2741.2483
Taisho Pharmaceutical Holdings Co Ltd,2659.8098
AVIC Capital Holdings Co Ltd,2658.0524
Daesang Corporation,2640.8521
Nihon Chouzai Co Ltd,2631.2384
Parkway Pantai Ltd,2630.89
Cipla Ltd,2592.8759
Dr. Reddy's Laboratories Ltd,2577.7067
Bayer Yakuhin Ltd,2493.8559
Meihua Holdings Group Co Ltd,2470.9083
"Liaoning Chengda Co., Ltd.",2455.7293
Sigma Healthcare Ltd,2415.4567
WuXi AppTec Co Ltd,2396.4046
Sichuan Kelun Pharmaceutical Co Ltd,2386.0815
Santen Pharmaceutical Co Ltd,2354.4288
Medius Holdings Co Ltd,2327.8505
Shandong Buchang Pharmaceutical Co Ltd,2319.7801
Guangxi Liuzhou Pharmaceutical Co Ltd,2270.7878
Marudai Food Co Ltd,2208.6665
Chongqing Zhifei Biological Products Co Ltd,2201.4704
Matsuda Sangyo Co Ltd,2184.2077
Bangkok Dusit Medical Services PCL,2178.998
H.U. Group Holdings Inc,2103.6249
Samyang Holdings Corp,2096.2788
Monash Health,2066.252
Lupin Ltd,2052.0102
The Hospitals Contribution Fund of Australia Ltd,2044.8682
University of Melbourne,2035.2296
Laobaixing Pharmacy Chain,2024.13
Monash University,2018.1707
China Resources Sanjiu Medical & Pharmaceutical Co Ltd,1976.3856
Nissan Chemical Corp,1972.5586
Tasly Pharmaceutical Group Co Ltd,1967.5243
Cadila Healthcare Ltd,1962.1291
Joincare Pharmaceutical Group Industry Co Ltd,1959.6246
Orion Holdings Corp,1934.4799
University of Sydney,1905.2744
Morinaga & Co Ltd,1886.4294
Intas Pharmaceuticals Ltd,1884
Earth Corp,1849.2177
Shanghai Shyndec Pharmaceutical Co Ltd,1819.7246
WA Health Department,1817.6266
Nichi-Iko Pharmaceutical Co Ltd,1775.3886
Sawai Group Holdings Co Ltd,1765.9654
Top Glove Corp Bhd,1748.2975
Samyang Corp,1740.4621
Piramal Enterprises Ltd,1733.4951
Aier Eye Hospital Group Co. Ltd.,1726.4112
Rohto Pharmaceutical Co Ltd,1710.0111
North China Pharmaceutical Co Ltd,1665.5562
POLA Orbis Holdings Inc.,1663.0744
Zhejiang Hisun Pharmaceutical Co Ltd,1645.5408
Shandong Weigao Group Medical Polymer Company Ltd,1644.2156
Nippon Kayaku Co Ltd,1635.4368
NOF Corp,1628.4944
Chongqing Taiji Industry (Group) Co Ltd,1624.2958
Health and Happiness (H&H) International Holdings Ltd,1622.3937
PT Kalbe Farma Tbk,1586.5062
Huapont Life Sciences Co Ltd,1576.2615
Celltrion Inc,1568.5581
Harbin Pharmaceutical Group Co Ltd,1563.5218
University of New South Wales,1557.8184
Asahi Holdings Inc,1554.2692
China Baoan Group Co Ltd,1545.4142
Livzon Pharmaceutical Group Co Ltd,1524.675
Dksh Holdings (Malaysia) Berhad,1513.4058
Zhejiang NHU Co Ltd,1494.7732
Glenmark Pharmaceuticals Ltd,1481.0468
Towa Pharmaceutical Co Ltd,1461.1126
Green Cross Holdings Corp,1458.4606
Apollo Hospitals Enterprise Ltd,1429.0896
Kobayashi Pharmaceutical Co Ltd,1419.7412
Chengzhi Co Ltd,1410.3862
Celltrion Healthcare Co Ltd,1380.6493
Tata Chemicals Ltd,1380.3435
Yuhan Corp,1374.0909
Easy Bio Inc,1364.3164
Kureha Corp,1363.7208
Healius Ltd,1308.2112
Angel Yeast Co Ltd,1294.6241
Topcon Corp,1294.5986
Dabur India Ltd,1293.9824
BASF India Ltd,1293.5345
Taiho Pharmaceutical Co Ltd,1278.6169
GC Pharma,1275.903
Shijiazhuang Yiling Pharmaceutical Co Ltd,1272.8047
The United Laboratories International Holdings Ltd,1271.3566
Jiangsu Hansoh Pharmaceutical Group Co Ltd,1259.436
Changchun High-tech Industrial (Group) Co Ltd,1242.9676
Tsumura & Co,1234.5694
China Resources Double-Crane Pharmaceutical Co Ltd,1232.437
BGI Genomics Co Ltd,1216.9722
Alkem Laboratories Ltd,1199.7058
Lepu Medical Technology (Beijing) Co Ltd,1165.0074
Aster DM Healthcare,1164.9827
HPGC Renmintongtai Pharmaceutical Corp,1160.1657
Daewoong Co Ltd,1149.6985
Nippon Shinyaku Co Ltd,1149.6947
Apeloa Pharmaceutical Co Ltd,1141.965
Kolmar Korea Co Ltd,1121.4882
KPC Pharmaceuticals Inc,1118.4022
Chong Kun Dang Pharmaceutical Corp,1105.3067
FANCL Corp,1083.8928
Torrent Pharmaceuticals Ltd,1083.2972
Hisamitsu Pharmaceutical Co Inc,1080.1292
Northeast Pharmaceutical Group Co Ltd,1070.1808
Beijing Sanyuan Foods Co Ltd,1065.6867
Kawanishi Holdings Inc,1065.6614
Zhejiang Medicine Co Ltd,1061.8592
Kwang Dong Pharmaceutical Co Ltd,1055.0584
Unitika Ltd,1041.1253
SK Chemicals Co Ltd,1030.4072
Omron Healthcare Co Ltd,1030.3767
Mitsui Sugar Co Ltd,1027.0895
YanAn Bicon Pharmaceutical Listed Co,1007.7257
China Medical System Holdings Ltd,1006.6469
Samsung Biologics Co Ltd,988.0508
Medical System Network Co Ltd,983.4165
Shibuya Kogyo Co Ltd,980.6622
Alfred Health Victoria,977.8113
Kameda Seika Co Ltd,974.4367
Mochida Pharmaceutical Co Ltd,971.5125
KYORIN Holdings Inc,970.6542
Biocon Ltd,966.6789
Ishihara Sangyo Kaisha Ltd,959.9953
Tianjin Zhongxin Pharmaceutical Group Corp Ltd,957.0371
Washington H Soul Pattinson and Co Ltd,951.4475
Divi's Laboratories Ltd,943.172
Tianjin Chase Sun Pharmaceutical Co Ltd,940.293
Zhejiang Huahai Pharmaceutical Co Ltd,939.8724
Hanmi Pharmaceuticals Co Ltd,912.6195
Daewoong Pharmaceutical Co Ltd,895.2893
Jiangsu Jumpcan Pharmaceutical Group Co Ltd,893.4616
Luoxin Pharmacy Group Co Ltd,883.4576
By-health Co Ltd,883.3062
Shandong Xinhua Pharmaceutical Co Ltd,870.3623
The Supreme Industries Ltd,860.3038
Zhejiang Conba Pharmaceutical Co Ltd,856.3669
Qingdao Baheal Medical Inc,852.0634
Guizhou Xinbang Pharmaceutical Co Ltd,847.1792
Jubilant Pharmova Ltd,825.3175
Grand Pharmaceutical Group Ltd,819.1185
Maruho Co Ltd,818.3656
WuXi Biologics Cayman Inc,813.3772
Eastern Health Australia,811.4548
3SBio Inc,809.7906
Luye Pharma Group Ltd,802.8349
Vimedimex Medi-Pharma Joint Stock Company,782.9737
Yifan Pharmaceutical Co Ltd,782.6525
Daan Gene Co Ltd,774.0771
Shenzhen Hepalink Pharmaceutical Group Co Ltd,772.7533
Taiyo Holdings Co Ltd,763.9572
University of Technology Sydney,763.2486
PT Tempo Scan Pacific Tbk,752.8965
Pharmaron Beijing Co Ltd,743.9887
India Glycols Ltd,734.502
IPCA Laboratories Ltd,733.5898
Riken Vitamin Co Ltd,733.122
Alembic Pharmaceuticals Ltd,729.8547
Hualan Biological Engineering Inc,727.9874
Chong Kun Dang Holdings Corp,727.9205
Hanmi Science Co Ltd,727.2967
Griffith University,716.7355
Kaken Pharmaceutical Co Ltd,707.2483
Shanxi Zhendong Pharmaceutical Co Ltd,702.5743
CMIC Holdings Co Ltd,700.0923
Lianhe Chemical Technology Co Ltd,693.0043
Sansure Biotech Inc,690.2746
The University of Adelaide,689.1824
PT Kimia Farma Tbk,686.8469
University of Western Australia,683.6606
Nihon Nohyaku Co Ltd,674.668
Curtin University,674.3773
Tong Ren Tang Technologies Co Ltd,667.725
Dong-A Socio Holdings Co Ltd,664.4669
JW Holdings Corp,663.3045
Jiangsu Simcere Pharmaceutical Co Ltd,653.4282
Laurus Labs Ltd,651.4145
Kissei Pharmaceutical Co Ltd,651.2657
Pharmaniaga Berhad,648.8882
CK Life Sciences Int'l (Holdings) Inc,637.2707
YouCare Pharmaceutical Group Co Ltd,628.8241
China Isotope & Radiation Corp,619.4378
EPS Holdings Inc,613.5306
Aarti Industries Ltd,609.8125
Zhejiang Guobang Pharmaceutical Co Ltd,609.6025
Shandong Lukang Pharmaceutical Co. Ltd,609.4273
Fujicco Co Ltd,605.6118
Western Sydney University,600.268
Mandom Corp,597.1791
University of Wollongong,597.151
La Trobe University,597.0119
Renhe Pharmacy Co Ltd,595.0789
Jeil Pharmaceutical Co Ltd,586.4334
Abbott India Ltd,583.2769
Zhejiang Xianju Pharmaceutical Co Ltd,582.4369
Asahi Intecc Co Ltd,580.1721
Chuangmei Pharmaceutical,578.5004
The Government Pharmaceutical Organization,573.8896
Kolmar Korea Holdings Co Ltd,572.9929
CHA Biotech Co Ltd,563.8625
Innovent Biologics Inc,557.0671
Jins Holdings Inc,554.3662
Square Pharmaceuticals Ltd,552.6105
SSY Group Ltd,549.3821
St. Vincent's Hospital Melbourne Pty Ltd,549.3252
Sankyo Co Ltd,548.3087
Beijing Aosaikang Pharmaceutical Co Ltd,548.2078
Fortis Healthcare Ltd,545.398
Ballarat Health Services,541.403
Guangxi Wuzhou Zhongheng Group Co Ltd,532.803
Cisen Pharmaceutical Co Ltd,532.479
ZhuZhou QianJin Pharmaceutical Co Ltd,525.6397
China Biologic Products Holdings Inc,524.3676
Zeria Pharmaceutical Co Ltd,522.9639
ASKA Pharmaceutical Co Ltd,520.5013
Guangdong Taiantang Pharmaceutical Co Ltd,519.1155
Jiuzhitang Co Ltd,515.868
KOLMAR BNH Co Ltd,514.8108
Swinburne University of Technology,514.441
Sinovac Biotech Ltd,510.624
Sunflower Pharmaceutical Group Co Ltd,501.7157
Zhejiang Yongtai Technology Co Ltd,500.0372
Beijing Tiantan Biological Products Co Ltd,499.3543
Zhejiang Zhenyuan Share Co Ltd,498.5204
Dong-A ST Co Ltd,497.7067
Shandong Pharmaceutical Glass Co Ltd,496.6695
Yantai Dongcheng Pharmaceutical Group Co Ltd,495.4968
Guizhou YiBai Pharmaceutical Co Ltd,494.6585
Heilongjiang ZBD Pharmaceutical Co Ltd,494.3196
PT Siloam International Hospitals Tbk,488.0554
Gan & Lee Pharmaceuticals Co Ltd,487.2222
Jiangsu Nhwa Pharmaceutical Co Ltd,487.1384
Procter & Gamble Hygiene and Health Care Ltd,483.69
Haisco Pharmaceutical Group Co Ltd,482.5437
Anhui Fengyuan Pharmaceutical Co Ltd,481.3238
Chengdu Kanghong Pharmaceuticals Group Co Ltd,477.5916
Noevir Holdings Co Ltd,476.9308
Boryung Pharmaceutical Co Ltd,476.6173
Ildong Pharmaceutical Co Ltd,476.599
Dongkook Pharmaceutical Co Ltd,474.2734
Zhejiang Jingxin Pharmaceutical Co Ltd,472.178
Zhejiang Jianfeng Group Company Ltd,470.6414
Suheung Capsule Co Ltd,469.1063
Gland Pharma Ltd,468.6326
Fuso Pharmaceutical Industries Ltd,464.5659
JW Pharmaceutical Corp,464.2911
Hangzhou Tigermed Consulting Co Ltd,462.6424
Daito Pharmaceutical Co Ltd,459.5099
Peninsula Health,459.1996
Center International Group Ltd,456.8803
A&D Company Ltd,456.7651
Asymchem Laboratories (Tianjin) Co Ltd,456.4701
Tianjin Tianyao Pharmaceutical Co Ltd,451.7105
Strides Pharma Science Ltd,448.7382
Xiangxue Pharmaceutical Co Ltd,445.2241
Australian Clinical Labs Ltd,445.1112
Huons Global Co Ltd,443.6882
IInmyshow Digital Technology Group Co Ltd,443.5299
Harbin Gloria Pharmaceuticals Co Ltd,442.7399
Jiangsu Kanion Pharmaceutical Co Ltd,439.4032
Granules India Ltd,438.1381
Riverstone Holdings Ltd,435.7277
Takara Bio Inc,434.7117
GlaxoSmithKline Pharmaceuticals Ltd,432.9035
"Shandong Jincheng Pharmaceutical Group Co., Ltd.",429.2598
Handok Inc,427.2013
Walvax Biotechnology Co Ltd,425.9389
PT Soho Global Health Tbk,423.1071
Valiant Co Ltd,422.9078
Nanjing King-friend Biochemical Pharmaceutical Co Ltd,422.4404
Tonghua Dongbao Pharmaceutical Co Ltd,419.1489
Furen Pharmaceutical Group Co Ltd,418.9095
Nidek Co Ltd,414.4543
Raffles Medical Group Ltd,411.9801
Falco SD Holdings Co Ltd,411.3376
Guangzhou Wondfo Biotech Co Ltd,407.3624
Hengkang Medical Group Co Ltd,406.6456
MaYinglong Pharmaceutical Group Co Ltd,404.5727
Mega Lifesciences Public Co Ltd,402.9772
Shanghai RAAS Blood Products Co Ltd,400.238
Shenzhen Salubris Pharmaceuticals Co Ltd,396.8851
Best World International Limited,395.6018
Hawke's Bay District Health Board,395.0677
Bumrungrad Hospital Public Company Ltd,394.2093
Torii Pharmaceutical Co Ltd,393.3402
Sanofi India Ltd,392.7154
Tofflon Science & Technology Group Co Ltd,392.4129
Nichiban Co Ltd,391.7178
Ajanta Pharma Ltd,391.063
Genscript Biotech Corp,390.846
Emami Ltd,389.8234
Boya Bio-pharmaceutical Group Co Ltd,388.9443
China Shineway Pharmaceutical Group Ltd,384.8786
Zhejiang Jiuzhou Pharmaceutical Co Ltd,383.6588
Bloomage Biotechnology Corp Ltd,381.5501
Yabao Pharmaceutical Group Co Ltd,377.1573
Zhejiang Tianyu Pharmaceutical Co Ltd,374.9795
Katakura Industries Co Ltd,373.8996
Nihon Dempa Kogyo Co Ltd,369.7115
Flinders University of SA,369.0385
Wockhardt Ltd,366.5155
Eiken Chemical Co Ltd,364.7311
Hokko Chemical Industry Co Ltd,364.6923
Lotus Pharmaceutical Co Ltd,364.3997
Jinling Pharmaceutical Co Ltd,362.8545
Zhejiang Hisoar Pharmaceutical Co Ltd,358.1668
Sihuan Pharmaceutical Holdings Group Ltd,357.129
Jianmin Pharmaceutical Group Co Ltd,355.9363
China Resources Jiangzhong Pharmaceutical Group Co Ltd,353.8285
Hemas Holdings Plc,350.9424
Narayana Hrudayalaya Ltd,349.47
Hunan Er-Kang Pharmaceutical Co Ltd,345.2522
Huons Co Ltd,344.9746
Fuan Pharmaceutical (Group) Co Ltd,343.2332
Hebei Changshan Biochemical Pharmaceutical Co Ltd,342.5727
Beijing Wantai Biological Pharmacy Enterprise Co Ltd,341.1917
Yichang Hec Changjiang Pharmaceutical Co Ltd,340.3013
Max Healthcare Institute Ltd,338.9581
Henan Lingrui Pharmaceutical Co Ltd,337.9049
Edith Cowan University,337.3604
Guilinjiqi Pharmaceutical Co Ltd,336.2946
Ningbo Medical System Biotechnology Co Ltd,333.6231
Samitivej PCL,330.9029
Rallis India Ltd,328.7765
Shenzhen Kangtai Biological Products Co Ltd,327.7021
Akzo Nobel India Ltd,327.6892
"Jilin Aodong Pharmaceutical Group Co., Ltd.",326.3215
CMC Magnetics Corp,319.3088
Hainan Haiyao Co Ltd,318.8815
Grape King Bio Ltd,311.4006
Fuji Pharma Co Ltd,310.8915
Shinnihonseiyaku Co Ltd,310.2935
Sanford Ltd,308.9207
BeiGene Ltd,308.874
Beximco Pharmaceuticals Ltd,308.5119
Vinh Hoan Corp,303.7029
Pfizer Ltd India,302.944
Topchoice Medical Investment Co Ltd,302.5847
Porton Pharma Solutions Ltd,300.2674
Sirio Pharma Co Ltd,299.5345
Medical Ikkou Co Ltd,298.1053
Nippon Chemiphar Co Ltd,297.5142
Shanghai ZJ Bio-Tech Co Ltd,297.4076
Renata Ltd,297.2235
Syngene International Ltd,295.6023
Aarti Drugs Ltd,291.6073
Ilyang Pharmaceutical Co Ltd,291.2371
Kawamoto Corp,291.2059
ABA Chemicals Corp,290.3336
Tianjin Ringpu Bio-Technology Co Ltd,289.9089
Nippon Fine Chemical Co Ltd,287.7853
Bangkok Chain Hospital Public Co Ltd,287.4566
PKU HealthCare Co Ltd,286.5788
Nomura Micro Science Co Ltd,286.3878
"TOHOKU CHEMICAL CO., LTD.",285.5704
JCR Pharmaceuticals Co Ltd,283.7803
SciClone Pharmaceuticals Holding Ltd,278.0484
China Chemical & Pharmaceutical Co Ltd,277.8721
Natco Pharma Ltd,277.7116
Guangdong VTR BioTech Co Ltd,277.4981
J B Chemicals and Pharmaceuticals Ltd,276.4154
Mayne Pharma Group Ltd,276.3218
Guangdong Zhongsheng Pharmaceutical Co Ltd,274.7531
YungShin Global Holding Corp,274.5982
Hefei Lifeon Pharmaceutical Co Ltd,274.531
Jiangsu Wuzhong Industrial Co Ltd,271.2623
Betta Pharmaceuticals Co Ltd,271.0492
IOL Chemicals and Pharmaceuticals Ltd,266.1923
"Gpro Titanium Industry Co., Ltd.",265.8068
Iwaki & Co Ltd,265.6451
Everlight Chemical Industrial Corp,263.8788
Shanghai Shenqi Pharmaceutical Investment Management Co Ltd,263.6203
Jinhe Biotechnology Co Ltd,262.9873
Daewon Pharmaceutical Co Ltd,261.6936
Seikagaku Corp,260.9251
Beijing Centergate Technologies (Holding) Co Ltd,259.3609
Consun Pharmaceutical Group Ltd,254.0297
Zydus Wellness Ltd,252.6173
Ramkhamhaeng Hospital Public Company Ltd,250.3813
Anhui Anke Biotechnology (Group) Co Ltd,246.5786
"China BCT Pharmacy Group, Inc.",241.8693
Changzhou Qianhong Bio-Pharma Co Ltd,241.6786
Glory Science Co Ltd,239.5696
Laxmi Organic Industries Ltd,239.3249
Shengda Resources Co Ltd,237.3556
Hangzhou B-Soft Co Ltd,236.6402
Rumah Sakit Mitra Keluarga Surabaya,234.7116
Qingdao Huaren Pharmaceutical Co Ltd,234.2457
Thonburi Healthcare Group Plc,234.141
Hayashibara Co Ltd,233.8378
Hikal Ltd,232.8274
Zhongzhi Pharmaceutical Holdings Ltd,232.4424
Shanghai Junshi Bioscience Co Ltd,231.1411
Dong Wha Pharma Co Ltd,230.7947
Chongqing Laimei Pharmaceutical Co Ltd,229.4938
Jinyu Bio-technology Co Ltd,229.2584
The ACME Laboratories Ltd,228.9109
Meito Sangyo Co Ltd,228.0807
Hutchmed China Ltd,227.976
Guilin Sanjin Pharmaceutical Co Ltd,227.0235
Suli Co Ltd,225.8812
"Uchiyama Holdings Co., Ltd.",224.4555
I-Mab,223.5718
Virtus Health Ltd,223.4166
Solara Active Pharma Sciences Ltd,218.8131
Abbott Laboratories (Pakistan) Ltd,218.6491
Universal Health International Group Holding Limited,218.6307
GlaxoSmithKline Pakistan Ltd,217.4514
Jiangxi Fushine Pharmaceutical Co Ltd,216.3669
Novogene Co Ltd,215.9429
Dr. Lal PathLabs Ltd,213.9934
Nectar Lifesciences Ltd,209.0002
Changchun Bcht Biotechnology Co Ltd,208.8895
Southern Petrochemical Industries Corp Ltd,206.6506
Henan Taloph Pharmaceutical Stock Co Ltd,205.3734
The Andhra Sugars Ltd,204.2282
Hygeia Healthcare Holdings Co Ltd,203.1513
Guangdong Biolight Meditech Co Ltd,202.3179
Jiangsu Lianhuan Pharmaceutical Co Ltd,200.8722
Samjin Pharm Co Ltd,199.4844
Tibet Rhodiola Pharmaceutical Holding Co Ltd,198.9979
Kawasumi Laboratories Inc,198.7075
Celltrion Pharm Inc,198.1302
Zhejiang Starry Pharmaceutical Co Ltd,198.1257
Dentium Co Ltd,194.8906
Rion Co Ltd,193.0495
China Pioneer Pharma Holdings Ltd,193.046
Vibhavadi Hospital Public Co Ltd,192.8379
Micro-Tech Nanjing Co Ltd,192.2299
Shanghai Haohai Biological Technology Co Ltd,191.9432
SK Bioscience Co Ltd,191.3799
VCANBIO Cell and Gene Engineering Corp Ltd,191.1413
CSPC Innovation Pharmaceutical Co Ltd,190.9268
Zhejiang Anglikang Pharmaceutical Co Ltd,186.9027
Jacobson Pharma Corp Ltd,186.4302
